"QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"10","0.4","1000000000000000","0.2","5.62E-10","28.12","0.859","84.67","20.46"
"20","0.4","1000000000000000","0.2","6.68E-10","33.41","0.835","83.08","23.17"
"30","0.4","1000000000000000","0.2","7.31E-10","36.54","0.822","82.60","24.79"
"50","0.4","1000000000000000","0.2","8.03E-10","40.16","0.804","81.94","26.44"
"70","0.4","1000000000000000","0.2","8.46E-10","42.30","0.791","81.48","27.27"
"100","0.4","1000000000000000","0.2","8.88E-10","44.40","0.780","80.59","27.90"
"2","0.4","1.0E+16","0.2","3.86E-10","19.29","0.903","87.40","15.22"
"3","0.4","1.0E+16","0.2","4.12E-10","20.58","0.910","87.48","16.38"
"4","0.4","1.0E+16","0.2","4.37E-10","21.87","0.901","87.17","17.19"
"5","0.4","1.0E+16","0.2","4.66E-10","23.29","0.851","85.56","16.96"
"10","0.4","1.0E+16","0.2","5.54E-10","27.72","0.793","82.01","18.02"
"20","0.4","1.0E+16","0.2","6.62E-10","33.10","0.759","80.29","20.18"
"30","0.4","1.0E+16","0.2","7.26E-10","36.28","0.742","80.25","21.60"
"50","0.4","1.0E+16","0.2","7.99E-10","39.95","0.721","79.71","22.96"
"70","0.4","1.0E+16","0.2","8.42E-10","42.11","0.707","79.38","23.62"
"100","0.4","1.0E+16","0.2","8.84E-10","44.22","0.693","78.56","24.06"
"2","0.4","1.0E+17","0.2","3.42E-10","17.10","0.849","86.47","12.55"
"3","0.4","1.0E+17","0.2","3.70E-10","18.50","0.810","85.42","12.81"
"4","0.4","1.0E+17","0.2","4.02E-10","20.12","0.783","84.32","13.28"
"5","0.4","1.0E+17","0.2","4.27E-10","21.36","0.769","83.69","13.75"
"10","0.4","1.0E+17","0.2","5.22E-10","26.09","0.689","77.84","13.99"
"20","0.4","1.0E+17","0.2","6.37E-10","31.84","0.667","77.53","16.47"
"30","0.4","1.0E+17","0.2","7.04E-10","35.21","0.656","77.21","17.84"
"50","0.4","1.0E+17","0.2","7.80E-10","39.01","0.642","76.46","19.14"
"70","0.4","1.0E+17","0.2","8.18E-10","40.88","0.715","77.09","22.55"
"100","0.4","1.0E+17","0.2","8.35E-10","41.73","0.700","75.93","22.19"
"2","0.4","1.0E+18","0.2","3.04E-10","15.22","0.760","84.16","9.74"
"3","0.4","1.0E+18","0.2","3.31E-10","16.53","0.671","82.48","9.15"
"4","0.4","1.0E+18","0.2","3.63E-10","18.13","0.624","77.85","8.81"
"5","0.4","1.0E+18","0.2","3.89E-10","19.45","0.638","75.82","9.42"
"10","0.4","1.0E+18","0.2","4.91E-10","24.53","0.595","74.37","10.85"
"20","0.4","1.0E+18","0.2","6.10E-10","30.49","0.590","73.85","13.29"
"30","0.4","1.0E+18","0.2","6.65E-10","33.26","0.585","71.99","14.01"
"50","0.4","1.0E+18","0.2","6.39E-10","31.93","0.572","66.50","12.14"
"70","0.4","1.0E+18","0.2","4.92E-10","24.58","0.557","62.55","8.57"
"100","0.4","1.0E+18","0.2","2.80E-10","13.99","0.533","60.41","4.50"
"2","0.4","1E+19","0.2","2.92E-10","14.58","0.532","72.08","5.59"
"3","0.4","1E+19","0.2","3.19E-10","15.95","0.521","70.72","5.87"
"4","0.4","1E+19","0.2","3.50E-10","17.52","0.520","70.06","6.38"
"5","0.4","1E+19","0.2","3.76E-10","18.79","0.550","71.11","7.35"
"10","0.4","1E+19","0.2","4.61E-10","23.06","0.528","68.37","8.32"
"20","0.4","1E+19","0.2","4.14E-10","20.70","0.515","61.18","6.52"
"30","0.4","1E+19","0.2","2.53E-10","12.64","0.491","58.71","3.65"
"50","0.4","1E+19","0.2","9.90E-11","4.95","0.452","58.61","1.31"
"70","0.4","1E+19","0.2","5.41E-11","2.70","0.427","59.05","0.68"
"100","0.4","1E+19","0.2","3.19E-11","1.59","0.405","59.26","0.38"
"2","0.4","1000000000000","0.25","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","1000000000000","0.25","4.24E-10","21.21","0.911","87.49","16.90"
"4","0.4","1000000000000","0.25","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","1000000000000","0.25","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","1000000000000","0.25","5.63E-10","28.17","0.876","87.29","21.54"
"20","0.4","1000000000000","0.25","6.69E-10","33.45","0.861","86.89","25.02"
"30","0.4","1000000000000","0.25","7.31E-10","36.57","0.850","86.98","27.04"
"50","0.4","1000000000000","0.25","8.04E-10","40.18","0.840","86.48","29.20"
"70","0.4","1000000000000","0.25","8.46E-10","42.32","0.831","86.61","30.46"
"100","0.4","1000000000000","0.25","8.89E-10","44.43","0.823","86.41","31.61"
"2","0.4","10000000000000","0.25","3.98E-10","19.91","0.925","88.11","16.22"
"3","0.4","10000000000000","0.25","4.24E-10","21.20","0.911","87.49","16.90"
"4","0.4","10000000000000","0.25","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","10000000000000","0.25","4.76E-10","23.82","0.894","87.76","18.69"
"10","0.4","10000000000000","0.25","5.63E-10","28.17","0.876","87.25","21.52"
"20","0.4","10000000000000","0.25","6.69E-10","33.45","0.860","86.72","24.96"
"30","0.4","10000000000000","0.25","7.31E-10","36.57","0.849","86.84","26.98"
"50","0.4","10000000000000","0.25","8.04E-10","40.18","0.840","86.20","29.09"
"70","0.4","10000000000000","0.25","8.46E-10","42.32","0.830","86.39","30.35"
"100","0.4","10000000000000","0.25","8.89E-10","44.43","0.823","86.06","31.46"
"2","0.4","100000000000000","0.25","3.98E-10","19.90","0.924","88.09","16.21"
"3","0.4","100000000000000","0.25","4.24E-10","21.20","0.911","87.49","16.89"
"4","0.4","100000000000000","0.25","4.49E-10","22.45","0.902","87.31","17.68"
"5","0.4","100000000000000","0.25","4.76E-10","23.81","0.893","87.70","18.64"
"10","0.4","100000000000000","0.25","5.63E-10","28.16","0.872","86.83","21.33"
"20","0.4","100000000000000","0.25","6.69E-10","33.45","0.855","85.91","24.58"
"30","0.4","100000000000000","0.25","7.31E-10","36.57","0.845","85.40","26.39"
"50","0.4","100000000000000","0.25","8.04E-10","40.18","0.832","84.94","28.41"
"70","0.4","100000000000000","0.25","8.46E-10","42.32","0.824","84.38","29.42"
"100","0.4","100000000000000","0.25","8.88E-10","44.42","0.815","83.96","30.39"
"2","0.4","1000000000000000","0.25","3.96E-10","19.82","0.921","87.78","16.03"
"3","0.4","1000000000000000","0.25","4.22E-10","21.11","0.911","87.48","16.82"
"4","0.4","1000000000000000","0.25","4.47E-10","22.37","0.902","87.29","17.62"
"5","0.4","1000000000000000","0.25","4.75E-10","23.74","0.884","86.79","18.22"
"10","0.4","1000000000000000","0.25","5.62E-10","28.10","0.851","83.98","20.07"
"20","0.4","1000000000000000","0.25","6.68E-10","33.40","0.824","82.36","22.67"
"30","0.4","1000000000000000","0.25","7.31E-10","36.53","0.809","81.99","24.22"
"50","0.4","1000000000000000","0.25","8.03E-10","40.15","0.790","81.31","25.77"
"70","0.4","1000000000000000","0.25","8.46E-10","42.29","0.777","80.63","26.51"
"100","0.4","1000000000000000","0.25","8.88E-10","44.39","0.763","79.82","27.05"
"2","0.4","1.0E+16","0.25","3.83E-10","19.13","0.898","87.10","14.96"
"3","0.4","1.0E+16","0.25","4.08E-10","20.42","0.909","87.47","16.24"
"4","0.4","1.0E+16","0.25","4.40E-10","22.00","0.847","86.07","16.04"
"5","0.4","1.0E+16","0.25","4.63E-10","23.15","0.841","85.07","16.55"
"10","0.4","1.0E+16","0.25","5.52E-10","27.60","0.776","81.15","17.37"
"20","0.4","1.0E+16","0.25","6.60E-10","33.01","0.741","79.48","19.43"
"30","0.4","1.0E+16","0.25","7.24E-10","36.19","0.723","79.54","20.83"
"50","0.4","1.0E+16","0.25","7.98E-10","39.88","0.703","79.11","22.17"
"70","0.4","1.0E+16","0.25","8.41E-10","42.04","0.689","78.73","22.81"
"100","0.4","1.0E+16","0.25","8.82E-10","44.11","0.676","77.71","23.19"
"2","0.4","1.0E+17","0.25","3.36E-10","16.81","0.840","85.87","12.12"
"3","0.4","1.0E+17","0.25","3.64E-10","18.20","0.797","84.94","12.31"
"4","0.4","1.0E+17","0.25","3.96E-10","19.82","0.762","83.76","12.66"
"5","0.4","1.0E+17","0.25","4.21E-10","21.06","0.746","82.69","12.98"
"10","0.4","1.0E+17","0.25","5.17E-10","25.84","0.667","76.60","13.19"
"20","0.4","1.0E+17","0.25","6.33E-10","31.64","0.650","76.76","15.79"
"30","0.4","1.0E+17","0.25","7.00E-10","35.02","0.642","76.46","17.18"
"50","0.4","1.0E+17","0.25","7.72E-10","38.62","0.629","75.57","18.34"
"70","0.4","1.0E+17","0.25","7.93E-10","39.67","0.692","76.60","21.01"
"100","0.4","1.0E+17","0.25","7.74E-10","38.70","0.678","75.06","19.70"
"2","0.4","1.0E+18","0.25","3.01E-10","15.06","0.727","83.83","9.18"
"3","0.4","1.0E+18","0.25","3.27E-10","16.33","0.623","79.43","8.08"
"4","0.4","1.0E+18","0.25","3.59E-10","17.93","0.591","74.91","7.94"
"5","0.4","1.0E+18","0.25","3.85E-10","19.26","0.614","74.59","8.82"
"10","0.4","1.0E+18","0.25","4.87E-10","24.37","0.582","73.60","10.44"
"20","0.4","1.0E+18","0.25","5.98E-10","29.89","0.583","72.25","12.59"
"30","0.4","1.0E+18","0.25","6.20E-10","30.98","0.650","74.55","15.01"
"50","0.4","1.0E+18","0.25","4.55E-10","22.73","0.560","63.17","8.04"
"70","0.4","1.0E+18","0.25","2.72E-10","13.62","0.538","61.64","4.52"
"100","0.4","1.0E+18","0.25","1.30E-10","6.48","0.508","61.57","2.02"
"2","0.4","1E+19","0.25","2.94E-10","14.71","0.509","70.65","5.30"
"3","0.4","1E+19","0.25","3.22E-10","16.09","0.508","70.33","5.74"
"4","0.4","1E+19","0.25","3.52E-10","17.61","0.517","68.87","6.27"
"5","0.4","1E+19","0.25","3.75E-10","18.76","0.548","69.87","7.18"
"10","0.4","1E+19","0.25","4.24E-10","21.21","0.617","71.34","9.33"
"20","0.4","1E+19","0.25","2.90E-10","14.52","0.598","67.18","5.83"
"30","0.4","1E+19","0.25","1.34E-10","6.68","0.467","59.00","1.84"
"50","0.4","1E+19","0.25","6.95E-11","3.48","0.551","65.80","1.26"
"70","0.4","1E+19","0.25","3.62E-11","1.81","0.422","58.23","0.44"
"100","0.4","1E+19","0.25","2.18E-11","1.09","0.385","57.62","0.24"
"2","0.6","1000000000000","0.05","3.91E-10","19.57","1.001","88.36","17.30"
"3","0.6","1000000000000","0.05","4.16E-10","20.82","0.990","88.50","18.24"
"4","0.6","1000000000000","0.05","4.38E-10","21.92","0.985","88.29","19.08"
"5","0.6","1000000000000","0.05","4.61E-10","23.07","0.977","88.84","20.03"
"10","0.6","1000000000000","0.05","5.44E-10","27.20","0.961","88.40","23.11"
"20","0.6","1000000000000","0.05","6.47E-10","32.35","0.945","88.19","26.95"
"30","0.6","1000000000000","0.05","7.09E-10","35.45","0.936","87.91","29.17"
"50","0.6","1000000000000","0.05","7.81E-10","39.07","0.924","87.79","31.70"
"70","0.6","1000000000000","0.05","8.25E-10","41.24","0.917","87.53","33.11"
"100","0.6","1000000000000","0.05","8.68E-10","43.39","0.908","87.64","34.53"
"2","0.6","10000000000000","0.05","3.91E-10","19.57","1.001","88.36","17.30"
"3","0.6","10000000000000","0.05","4.16E-10","20.82","0.990","88.50","18.24"
"4","0.6","10000000000000","0.05","4.38E-10","21.92","0.985","88.29","19.08"
"5","0.6","10000000000000","0.05","4.61E-10","23.07","0.977","88.84","20.03"
"10","0.6","10000000000000","0.05","5.44E-10","27.19","0.961","88.40","23.11"
"20","0.6","10000000000000","0.05","6.47E-10","32.35","0.945","88.19","26.95"
"30","0.6","10000000000000","0.05","7.09E-10","35.45","0.936","87.91","29.17"
"50","0.6","10000000000000","0.05","7.81E-10","39.07","0.924","87.79","31.70"
"70","0.6","10000000000000","0.05","8.25E-10","41.24","0.917","87.53","33.10"
"100","0.6","10000000000000","0.05","8.68E-10","43.39","0.908","87.63","34.52"
"2","0.6","100000000000000","0.05","3.91E-10","19.57","1.001","88.36","17.30"
"3","0.6","100000000000000","0.05","4.16E-10","20.82","0.990","88.50","18.24"
"4","0.6","100000000000000","0.05","4.38E-10","21.92","0.985","88.29","19.08"
"5","0.6","100000000000000","0.05","4.61E-10","23.07","0.977","88.84","20.03"
"10","0.6","100000000000000","0.05","5.44E-10","27.19","0.961","88.39","23.10"
"20","0.6","100000000000000","0.05","6.47E-10","32.35","0.944","88.18","26.94"
"30","0.6","100000000000000","0.05","7.09E-10","35.45","0.936","87.90","29.17"
"50","0.6","100000000000000","0.05","7.81E-10","39.07","0.924","87.76","31.69"
"70","0.6","100000000000000","0.05","8.25E-10","41.24","0.917","87.52","33.09"
"100","0.6","100000000000000","0.05","8.68E-10","43.39","0.908","87.61","34.51"
"2","0.6","1000000000000000","0.05","3.91E-10","19.56","1.000","88.35","17.29"
"3","0.6","1000000000000000","0.05","4.16E-10","20.81","0.990","88.49","18.22"
"4","0.6","1000000000000000","0.05","4.38E-10","21.91","0.985","88.29","19.07"
"5","0.6","1000000000000000","0.05","4.61E-10","23.06","0.977","88.84","20.02"
"10","0.6","1000000000000000","0.05","5.44E-10","27.19","0.961","88.26","23.05"
"20","0.6","1000000000000000","0.05","6.47E-10","32.35","0.944","88.00","26.86"
"30","0.6","1000000000000000","0.05","7.09E-10","35.45","0.935","87.81","29.09"
"50","0.6","1000000000000000","0.05","7.81E-10","39.07","0.923","87.49","31.55"
"70","0.6","1000000000000000","0.05","8.25E-10","41.23","0.915","87.40","32.99"
"100","0.6","1000000000000000","0.05","8.68E-10","43.39","0.906","87.34","34.35"
"2","0.6","1.0E+16","0.05","3.89E-10","19.45","0.997","88.42","17.15"
"3","0.6","1.0E+16","0.05","4.14E-10","20.70","0.986","88.33","18.03"
"4","0.6","1.0E+16","0.05","4.36E-10","21.81","0.985","88.26","18.97"
"5","0.6","1.0E+16","0.05","4.59E-10","22.97","0.974","88.88","19.89"
"10","0.6","1.0E+16","0.05","5.42E-10","27.11","0.952","88.10","22.75"
"20","0.6","1.0E+16","0.05","6.46E-10","32.29","0.936","87.18","26.34"
"30","0.6","1.0E+16","0.05","7.08E-10","35.39","0.925","86.66","28.38"
"50","0.6","1.0E+16","0.05","7.81E-10","39.03","0.912","86.37","30.75"
"70","0.6","1.0E+16","0.05","8.24E-10","41.20","0.904","86.08","32.05"
"100","0.6","1.0E+16","0.05","8.67E-10","43.36","0.895","85.90","33.33"
"2","0.6","1.0E+17","0.05","3.72E-10","18.62","0.980","88.03","16.06"
"3","0.6","1.0E+17","0.05","3.98E-10","19.89","0.962","87.60","16.77"
"4","0.6","1.0E+17","0.05","4.23E-10","21.16","0.951","88.59","17.83"
"5","0.6","1.0E+17","0.05","4.45E-10","22.24","0.959","88.32","18.83"
"10","0.6","1.0E+17","0.05","5.30E-10","26.49","0.918","86.69","21.07"
"20","0.6","1.0E+17","0.05","6.36E-10","31.80","0.893","85.39","24.24"
"30","0.6","1.0E+17","0.05","7.00E-10","34.99","0.880","85.01","26.19"
"50","0.6","1.0E+17","0.05","7.74E-10","38.70","0.863","84.80","28.34"
"70","0.6","1.0E+17","0.05","8.18E-10","40.92","0.852","84.49","29.46"
"100","0.6","1.0E+17","0.05","8.63E-10","43.13","0.842","84.44","30.65"
"2","0.6","1.0E+18","0.05","3.25E-10","16.23","0.927","87.58","13.18"
"3","0.6","1.0E+18","0.05","3.51E-10","17.53","0.906","87.11","13.83"
"4","0.6","1.0E+18","0.05","3.79E-10","18.94","0.894","87.44","14.80"
"5","0.6","1.0E+18","0.05","4.02E-10","20.11","0.906","87.37","15.92"
"10","0.6","1.0E+18","0.05","4.94E-10","24.70","0.848","85.31","17.87"
"20","0.6","1.0E+18","0.05","6.08E-10","30.40","0.819","84.55","21.04"
"30","0.6","1.0E+18","0.05","6.76E-10","33.80","0.804","84.29","22.91"
"50","0.6","1.0E+18","0.05","7.55E-10","37.76","0.788","84.08","25.01"
"70","0.6","1.0E+18","0.05","8.02E-10","40.11","0.779","83.77","26.18"
"100","0.6","1.0E+18","0.05","8.49E-10","42.45","0.768","83.38","27.16"
"2","0.6","1E+19","0.05","2.96E-10","14.81","0.862","86.40","11.03"
"3","0.6","1E+19","0.05","3.21E-10","16.05","0.837","85.87","11.54"
"4","0.6","1E+19","0.05","3.51E-10","17.55","0.820","85.28","12.27"
"5","0.6","1E+19","0.05","3.76E-10","18.78","0.831","85.65","13.37"
"10","0.6","1E+19","0.05","4.72E-10","23.59","0.763","83.79","15.07"
"20","0.6","1E+19","0.05","5.91E-10","29.53","0.741","82.81","18.13"
"30","0.6","1E+19","0.05","6.61E-10","33.07","0.730","82.64","19.96"
"50","0.6","1E+19","0.05","7.44E-10","37.18","0.719","81.88","21.89"
"70","0.6","1E+19","0.05","7.92E-10","39.62","0.709","81.09","22.78"
"100","0.6","1E+19","0.05","8.40E-10","42.01","0.701","79.37","23.36"
"2","0.6","1000000000000","0.1","3.91E-10","19.57","1.001","88.36","17.30"
"3","0.6","1000000000000","0.1","4.16E-10","20.82","0.990","88.50","18.24"
"4","0.6","1000000000000","0.1","4.41E-10","22.03","0.983","89.20","19.33"
"5","0.6","1000000000000","0.1","4.61E-10","23.07","0.977","88.84","20.03"
"10","0.6","1000000000000","0.1","5.44E-10","27.19","0.961","88.40","23.11"
"20","0.6","1000000000000","0.1","6.47E-10","32.35","0.945","88.19","26.95"
"30","0.6","1000000000000","0.1","7.09E-10","35.45","0.936","87.91","29.17"
"50","0.6","1000000000000","0.1","7.81E-10","39.07","0.924","87.79","31.70"
"70","0.6","1000000000000","0.1","8.25E-10","41.24","0.917","87.53","33.10"
"100","0.6","1000000000000","0.1","8.68E-10","43.39","0.908","87.63","34.52"
"2","0.6","10000000000000","0.1","3.91E-10","19.57","1.001","88.36","17.30"
"3","0.6","10000000000000","0.1","4.16E-10","20.82","0.990","88.50","18.24"
"4","0.6","10000000000000","0.1","4.38E-10","21.92","0.985","88.29","19.08"
"5","0.6","10000000000000","0.1","4.61E-10","23.07","0.977","88.84","20.03"
"10","0.6","10000000000000","0.1","5.44E-10","27.19","0.961","88.38","23.10"
"20","0.6","10000000000000","0.1","6.47E-10","32.35","0.944","88.16","26.94"
"30","0.6","10000000000000","0.1","7.09E-10","35.45","0.936","87.89","29.16"
"50","0.6","10000000000000","0.1","7.81E-10","39.07","0.924","87.74","31.68"
"70","0.6","10000000000000","0.1","8.25E-10","41.24","0.917","87.50","33.08"
"100","0.6","10000000000000","0.1","8.68E-10","43.39","0.908","87.57","34.49"
"2","0.6","100000000000000","0.1","3.91E-10","19.56","1.001","88.35","17.30"
"3","0.6","100000000000000","0.1","4.16E-10","20.82","0.990","88.49","18.23"
"4","0.6","100000000000000","0.1","4.38E-10","21.92","0.985","88.29","19.07"
"5","0.6","100000000000000","0.1","4.61E-10","23.07","0.977","88.83","20.02"
"10","0.6","100000000000000","0.1","5.44E-10","27.19","0.961","88.22","23.05"
"20","0.6","100000000000000","0.1","6.47E-10","32.35","0.944","87.86","26.82"
"30","0.6","100000000000000","0.1","7.09E-10","35.45","0.934","87.68","29.04"
"50","0.6","100000000000000","0.1","7.81E-10","39.07","0.923","87.22","31.45"
"70","0.6","100000000000000","0.1","8.25E-10","41.23","0.915","87.19","32.89"
"100","0.6","100000000000000","0.1","8.68E-10","43.39","0.906","87.01","34.21"
"2","0.6","1000000000000000","0.1","3.91E-10","19.54","0.999","88.35","17.25"
"3","0.6","1000000000000000","0.1","4.16E-10","20.79","0.988","88.39","18.15"
"4","0.6","1000000000000000","0.1","4.38E-10","21.90","0.985","88.27","19.04"
"5","0.6","1000000000000000","0.1","4.61E-10","23.05","0.974","88.79","19.94"
"10","0.6","1000000000000000","0.1","5.43E-10","27.17","0.953","87.75","22.72"
"20","0.6","1000000000000000","0.1","6.47E-10","32.34","0.935","86.41","26.11"
"30","0.6","1000000000000000","0.1","7.09E-10","35.44","0.924","85.83","28.09"
"50","0.6","1000000000000000","0.1","7.81E-10","39.06","0.909","85.21","30.26"
"70","0.6","1000000000000000","0.1","8.25E-10","41.23","0.901","84.75","31.47"
"100","0.6","1000000000000000","0.1","8.68E-10","43.39","0.889","84.53","32.61"
"2","0.6","1.0E+16","0.1","3.86E-10","19.29","0.987","88.38","16.83"
"3","0.6","1.0E+16","0.1","4.11E-10","20.54","0.971","87.85","17.52"
"4","0.6","1.0E+16","0.1","4.35E-10","21.77","0.960","88.10","18.42"
"5","0.6","1.0E+16","0.1","4.57E-10","22.83","0.959","87.85","19.24"
"10","0.6","1.0E+16","0.1","5.40E-10","26.99","0.915","85.69","21.17"
"20","0.6","1.0E+16","0.1","6.44E-10","32.19","0.884","84.07","23.92"
"30","0.6","1.0E+16","0.1","7.06E-10","35.31","0.867","83.60","25.59"
"50","0.6","1.0E+16","0.1","7.79E-10","38.96","0.847","83.17","27.45"
"70","0.6","1.0E+16","0.1","8.23E-10","41.14","0.835","82.80","28.44"
"100","0.6","1.0E+16","0.1","8.66E-10","43.31","0.822","82.30","29.31"
"2","0.6","1.0E+17","0.1","3.55E-10","17.76","0.947","87.75","14.75"
"3","0.6","1.0E+17","0.1","3.81E-10","19.04","0.921","86.84","15.23"
"4","0.6","1.0E+17","0.1","4.05E-10","20.23","0.966","87.58","17.11"
"5","0.6","1.0E+17","0.1","4.30E-10","21.48","0.904","86.50","16.80"
"10","0.6","1.0E+17","0.1","5.17E-10","25.85","0.837","84.08","18.20"
"20","0.6","1.0E+17","0.1","6.26E-10","31.30","0.798","82.12","20.50"
"30","0.6","1.0E+17","0.1","6.91E-10","34.56","0.782","81.81","22.10"
"50","0.6","1.0E+17","0.1","7.67E-10","38.36","0.764","81.41","23.85"
"70","0.6","1.0E+17","0.1","8.12E-10","40.62","0.752","80.93","24.72"
"100","0.6","1.0E+17","0.1","8.57E-10","42.86","0.741","80.06","25.43"
"2","0.6","1.0E+18","0.1","3.09E-10","15.44","0.882","86.53","11.78"
"3","0.6","1.0E+18","0.1","3.35E-10","16.73","0.844","85.83","12.12"
"4","0.6","1.0E+18","0.1","3.63E-10","18.17","0.815","85.09","12.61"
"5","0.6","1.0E+18","0.1","3.88E-10","19.38","0.812","84.91","13.37"
